TREEID,ONSTREET,CROSSSTREE,CROSSSTR_1,TREECONDIT,DIAMETER,SPECIES,BOROUGH,ZIPCODE
79444,WEST  123 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,2,8,PYCA,Manhattan,10027
79448,WEST  123 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,2,7,PYCA,Manhattan,10027
79451,WEST  123 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,2,6,PYCA,Manhattan,10027
79454,WEST  123 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,2,7,PYCA,Manhattan,10027
79457,WEST  123 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,3,4,PYCA,Manhattan,10027
79460,WEST  123 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,2,7,PYCA,Manhattan,10027
79464,WEST  123 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,2,3,GLTR,Manhattan,10027
79475,LENOX AVENUE,WEST  124 STREET,WEST  123 STREET,2,4,CR,Manhattan,10027
79467,WEST  123 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,6,0,,Manhattan,10027
79470,WEST  123 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,2,4,GLTR,Manhattan,10027
79474,LENOX AVENUE,WEST  124 STREET,WEST  123 STREET,2,3,CR,Manhattan,10027
79478,LENOX AVENUE,WEST  124 STREET,WEST  123 STREET,2,5,QURU,Manhattan,10027
79487,WEST  123 STREET,ADAM C POWELL BOULEVARD,FRED DOUGLASS BOULEVARD,2,3,PYCA,Manhattan,10027
79494,WEST  123 STREET,ADAM C POWELL BOULEVARD,FRED DOUGLASS BOULEVARD,2,11,PYCA,Manhattan,10027
79508,WEST  123 STREET,ADAM C POWELL BOULEVARD,FRED DOUGLASS BOULEVARD,2,3,TADI,Manhattan,10027
79483,WEST  123 STREET,ADAM C POWELL BOULEVARD,FRED DOUGLASS BOULEVARD,2,10,PYCA,Manhattan,10027
79491,WEST  123 STREET,ADAM C POWELL BOULEVARD,FRED DOUGLASS BOULEVARD,2,9,PYCA,Manhattan,10027
79496,WEST  123 STREET,ADAM C POWELL BOULEVARD,FRED DOUGLASS BOULEVARD,2,3,TADI,Manhattan,10027
79514,WEST  123 STREET,ADAM C POWELL BOULEVARD,FRED DOUGLASS BOULEVARD,2,3,PRCE,Manhattan,10027
79522,WEST  123 STREET,ADAM C POWELL BOULEVARD,FRED DOUGLASS BOULEVARD,2,9,PYCA,Manhattan,10027
79528,WEST  131 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,2,7,GLTR,Manhattan,10030
